"キーワード","指定時の原文","種別","投入群","抽出元","月間平均検索ボリューム","競合性","上部掲載単価（低額帯）","上部掲載単価（高額帯）","3か月の推移","前年比の推移","広告インプレッションシェア","対象期間","地域","言語","ネットワーク","取得日","備考"
"トラック 修理 費 払え ない","トラック 修理費 払えない","指定KW","車両系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 修理 資金","トラック 修理 資金","指定KW","車両系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 車両 修理 資金","運送会社 車両修理 資金","指定KW","車両系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 購入 資金","トラック 購入 資金","指定KW","車両系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 資金 調達","運送業 資金調達","指定KW","王道KW","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥344","￥1,101","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 開業 資金 調達","","Google関連候補","関連候補（入金ギャップ・王道バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","中","￥129","￥767","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"輸送 株価","","Google関連候補","関連候補（入金ギャップ・王道バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","+900%","+900%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"仕事 ある の に 資金 が ない","仕事あるのに資金がない","指定KW","入金ギャップ・受注系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"受注 した けど 資金 が ない","受注したけど資金がない","指定KW","入金ギャップ・受注系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"新規 受注 運転 資金","新規受注 運転資金","指定KW","入金ギャップ・受注系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"売上 増え た 資金繰り","売上増えた 資金繰り","指定KW","入金ギャップ・受注系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 融資","運送会社 融資","指定KW","王道KW","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 ビジネス ローン","運送業 ビジネスローン","指定KW","王道KW","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 事業 資金","運送業 事業資金","指定KW","王道KW","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 増車 資金","トラック 増車 資金","指定KW","車両系","Keyword Planner「検索のボリュームと予測のデータを確認する」","—","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11","Keyword Planner上で指標はすべて「—」表示"
"運送業 入金サイト","運送業 入金サイト","指定KW","入金ギャップ・受注系","Keyword Planner「検索のボリュームと予測のデータを確認する」","—","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11","Keyword Planner上で指標はすべて「—」表示"
"運賃 入金 遅い","運賃 入金 遅い","指定KW","入金ギャップ・受注系","Keyword Planner「検索のボリュームと予測のデータを確認する」","—","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11","Keyword Planner上で指標はすべて「—」表示"
"運送業 即日融資","運送業 即日融資","指定KW","王道KW","Keyword Planner「検索のボリュームと予測のデータを確認する」","—","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11","Keyword Planner上で指標はすべて「—」表示"
